answer_id,target_id,target_class,target_object,source_url_or_citation,quoted_or_precise_source_text,answer_summary,approval_request,claim_limit,target_question,suggested_source_url,hint_window_preview,acceptance_notes,do_not_fill_with,current_status,score_allowed,support_allowed
answer_011,definition_match_bound_03,definition_match,f σ 8 (z) BOSS Galaxy z_eff=0.51,,,,definition_match,no_scoring/no_claims,"Does the comparator match observable f_sigma8, tracer/sample, redshift/bin, row-family role, and fiducial assumptions for this observed row?",https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o",Fill only after a comparator source exists. This row should identify exact matching conditions.,nearby redshift only; wrong tracer; wrong observable; unconfirmed row family,fillable_unanswered_not_approved,False,False
answer_012,definition_match_bound_04,definition_match,f σ 8 (z) eBOSS LRG z_eff=0.7,,,,definition_match,no_scoring/no_claims,"Does the comparator match observable f_sigma8, tracer/sample, redshift/bin, row-family role, and fiducial assumptions for this observed row?",https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o",Fill only after a comparator source exists. This row should identify exact matching conditions.,nearby redshift only; wrong tracer; wrong observable; unconfirmed row family,fillable_unanswered_not_approved,False,False
answer_013,definition_match_bound_05,definition_match,f σ 8 (z) eBOSS ELG z_eff=0.85,,,,definition_match,no_scoring/no_claims,"Does the comparator match observable f_sigma8, tracer/sample, redshift/bin, row-family role, and fiducial assumptions for this observed row?",https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o",Fill only after a comparator source exists. This row should identify exact matching conditions.,nearby redshift only; wrong tracer; wrong observable; unconfirmed row family,fillable_unanswered_not_approved,False,False
answer_014,definition_match_bound_06,definition_match,f σ 8 (z) eBOSS Quasar z_eff=1.48,,,,definition_match,no_scoring/no_claims,"Does the comparator match observable f_sigma8, tracer/sample, redshift/bin, row-family role, and fiducial assumptions for this observed row?",https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o",Fill only after a comparator source exists. This row should identify exact matching conditions.,nearby redshift only; wrong tracer; wrong observable; unconfirmed row family,fillable_unanswered_not_approved,False,False
answer_015,definition_match_bound_07,definition_match,f σ 8 Main Galaxy Sample (MGS) z_eff=0.15,,,,definition_match,no_scoring/no_claims,"Does the comparator match observable f_sigma8, tracer/sample, redshift/bin, row-family role, and fiducial assumptions for this observed row?",https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o",Fill only after a comparator source exists. This row should identify exact matching conditions.,nearby redshift only; wrong tracer; wrong observable; unconfirmed row family,fillable_unanswered_not_approved,False,False
answer_016,definition_match_bound_08,definition_match,f σ 8 BOSS Galaxy z_eff=0.38,,,,definition_match,no_scoring/no_claims,"Does the comparator match observable f_sigma8, tracer/sample, redshift/bin, row-family role, and fiducial assumptions for this observed row?",https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o",Fill only after a comparator source exists. This row should identify exact matching conditions.,nearby redshift only; wrong tracer; wrong observable; unconfirmed row family,fillable_unanswered_not_approved,False,False
answer_017,definition_match_bound_09,definition_match,f σ 8 BOSS Galaxy z_eff=0.51,,,,definition_match,no_scoring/no_claims,"Does the comparator match observable f_sigma8, tracer/sample, redshift/bin, row-family role, and fiducial assumptions for this observed row?",https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o",Fill only after a comparator source exists. This row should identify exact matching conditions.,nearby redshift only; wrong tracer; wrong observable; unconfirmed row family,fillable_unanswered_not_approved,False,False
answer_018,definition_match_bound_10,definition_match,f σ 8 eBOSS LRG z_eff=0.7,,,,definition_match,no_scoring/no_claims,"Does the comparator match observable f_sigma8, tracer/sample, redshift/bin, row-family role, and fiducial assumptions for this observed row?",https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o",Fill only after a comparator source exists. This row should identify exact matching conditions.,nearby redshift only; wrong tracer; wrong observable; unconfirmed row family,fillable_unanswered_not_approved,False,False
answer_019,definition_match_bound_11,definition_match,f σ 8 eBOSS ELG z_eff=0.85,,,,definition_match,no_scoring/no_claims,"Does the comparator match observable f_sigma8, tracer/sample, redshift/bin, row-family role, and fiducial assumptions for this observed row?",https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o",Fill only after a comparator source exists. This row should identify exact matching conditions.,nearby redshift only; wrong tracer; wrong observable; unconfirmed row family,fillable_unanswered_not_approved,False,False
answer_020,definition_match_bound_12,definition_match,f σ 8 eBOSS Quasar z_eff=1.48,,,,definition_match,no_scoring/no_claims,"Does the comparator match observable f_sigma8, tracer/sample, redshift/bin, row-family role, and fiducial assumptions for this observed row?",https://arxiv.org/abs/2007.08991,"ge-scale structure. These experiments, composed of data from SDSS, SDSS-II, BOSS, and eBOSS, offer independent measurements of baryon acoustic oscillation (BAO) measurements of angular-diameter distances and Hubble distances relative to the sound horizon, $r_d$, from eight different samples and six measurements of the growth rate parameter, $f\sigma_8$, from redshift-space distortions (RSD). This composite sample is the most constraining of its kind and allows us to perform a comprehensive assessment of the cosmological model after two decades of dedicated spectroscopic observation. We show that the BAO data alone are able to rule o",Fill only after a comparator source exists. This row should identify exact matching conditions.,nearby redshift only; wrong tracer; wrong observable; unconfirmed row family,fillable_unanswered_not_approved,False,False
